epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7327,3.74545,7.72538,3.43722,0.38688,0.07619,0.03214,0.00878,5.52958,21.2368,6.76828,0.000465508,0.000465508,0.000465508
2,42.5658,4.09393,5.33184,3.7445,0.70727,0.02698,0.01229,0.0054,5.5369,12.1516,7.4275,0.000932517,0.000932517,0.000932517
3,63.1348,4.19274,5.2252,3.84822,0.00034,0.01887,0.00016,3e-05,8.18891,inf,53.0311,0.00139009,0.00139009,0.00139009
4,83.6966,4.11887,5.10453,3.88686,0.41571,0.10564,0.03496,0.00914,5.14416,15.7011,5.37407,0.00138656,0.00138656,0.00138656
5,104.624,4.06626,4.99031,3.80277,0.37516,0.06667,0.02887,0.00876,4.7374,27.2805,5.11141,0.00137241,0.00137241,0.00137241
6,125.111,3.94381,4.7233,3.62451,0.72108,0.07835,0.04552,0.01449,4.5887,29.1245,4.95819,0.00135826,0.00135826,0.00135826
7,145.459,3.92376,4.62335,3.59895,0.66036,0.12046,0.09324,0.03072,4.51146,11.398,4.47927,0.00134412,0.00134412,0.00134412
8,165.817,3.85837,4.37569,3.57284,0.48931,0.18419,0.10965,0.04004,4.25285,7.35564,4.1173,0.00132997,0.00132997,0.00132997
9,186.122,3.74785,4.32288,3.44518,0.46581,0.15729,0.10034,0.03617,4.14418,7.51922,3.88609,0.00131582,0.00131582,0.00131582
10,206.293,3.6761,4.10467,3.41797,0.57106,0.17743,0.16698,0.0562,4.06204,6.30276,3.958,0.00130168,0.00130168,0.00130168
11,226.614,3.65822,3.93157,3.41295,0.50878,0.26349,0.19732,0.07137,4.05951,5.25691,3.85454,0.00128753,0.00128753,0.00128753
12,246.9,3.65866,3.86653,3.42125,0.4823,0.20741,0.12227,0.0521,4.14942,5.53949,4.03311,0.00127338,0.00127338,0.00127338
13,266.963,3.64997,3.68117,3.3434,0.53562,0.25767,0.16628,0.05377,4.23354,4.94288,4.0145,0.00125923,0.00125923,0.00125923
14,286.965,3.52999,3.59842,3.32667,0.53674,0.25979,0.22547,0.09757,4.00202,4.95841,3.77767,0.00124509,0.00124509,0.00124509
15,307.242,3.52799,3.59382,3.27811,0.53686,0.23668,0.18593,0.07071,4.05902,4.72931,3.76403,0.00123094,0.00123094,0.00123094
16,327.339,3.39706,3.51125,3.25584,0.57963,0.24444,0.22603,0.08178,3.99797,4.43172,3.79932,0.00121679,0.00121679,0.00121679
17,347.493,3.46219,3.49447,3.27357,0.56036,0.22911,0.21689,0.08356,4.14102,4.66013,3.86714,0.00120265,0.00120265,0.00120265
18,367.58,3.42413,3.3275,3.20409,0.52737,0.28342,0.22315,0.08636,3.97128,4.41425,3.77509,0.0011885,0.0011885,0.0011885
19,387.626,3.37611,3.3144,3.21548,0.52075,0.27125,0.19795,0.07338,4.14687,4.59626,3.99901,0.00117435,0.00117435,0.00117435
20,407.809,3.38817,3.26293,3.2045,0.57791,0.25492,0.2729,0.08875,4.08723,4.10435,3.74753,0.00116021,0.00116021,0.00116021
21,427.84,3.3535,3.20658,3.1822,0.6161,0.22169,0.20239,0.07407,4.04462,4.40226,3.78323,0.00114606,0.00114606,0.00114606
22,447.885,3.21358,3.08115,3.10393,0.63848,0.2321,0.24084,0.09663,4.00468,3.99332,3.74706,0.00113191,0.00113191,0.00113191
23,468.143,3.26638,2.90362,3.08545,0.56942,0.29577,0.22215,0.08334,3.98203,4.04656,3.76197,0.00111776,0.00111776,0.00111776
24,488.274,3.19135,2.89225,3.05596,0.56746,0.27478,0.24067,0.09479,3.98677,4.07588,3.75339,0.00110362,0.00110362,0.00110362
25,508.398,3.21107,2.86809,3.04662,0.6256,0.29171,0.28842,0.11513,4.11899,3.83417,3.85955,0.00108947,0.00108947,0.00108947
26,528.879,3.22858,2.94007,3.10314,0.60999,0.30635,0.30778,0.12737,4.01632,3.84672,3.69647,0.00107532,0.00107532,0.00107532
